ID,Бренд,Наименование,Количество,Цена,Цена по акции
469426,LUPE-CHOLET,"Вино Lupe-Cholet Nuits-Saint-Georges красное сухое, 0.75л",7,8499,0
552181,CERRO DE LA CRUZ,"Вино Cerro De La Cruz красное сухое, 5л",44,2129,1916.1
448153,TILENUS,"Вино Bodegas Estefania Tilenus Pagos de Posada красное сухое, 0.75л",16,4299,3869.1
604998144,HERESIE,"Вино Heresie Corbieres красное сухое, 0.75л",216,1799,1599
141484,CASTELLARE,"Вино Castellare di Castellina Chianti Classico красное сухое, 0.75л",45,2499,1799
171400,BODEGAS SANTA ANA,"Вино Bodegas Santa Ana Caracter Chardonnay-Chenin белое сухое, 0.75л",131,739,665.1
531960,MEDUSA VIOGNIER,"Вино Medusa Viognier белое сухое, 0.75л",11,1559,1299
205690,MARQUES DE RISCAL,"Вино Herederos del Marques De Riscal Reserva красное сухое, 0.75л",38,3599,3239.1
490965,CERRO DE LA CRUZ,"Вино Cerro De La Cruz красное сухое, 1л",24,599,539.1
538383,ASKANELI BROTHERS,"Вино Askaneli Brothers Rkatsiteli Qvevri Оранж белое сухое, 0.75л",45,799,0
534569,DOMAINE NAUDET,"Вино Domaine Naudet Sancerre белое сухое, 0.75л",11,2699,0
555631,PR,"Вино PR Mediterranee розовое сухое, 0.75л",233,959,0
492147,CATENA ZAPATA,"Вино Catena Zapata Chardonnay белое сухое, 0.75л",11,2999,2699.1
547958,M. CHAPOUTIER,"Вино M. Chapoutier Chateauneuf du Pape La Bernardine красное сухое, 0.75л",19,6399,0
552593,CHATEAU LE SEPE,"Вино Chateau Le Sepe Bordeaux белое сухое, 0.75л",10,1999,0
395468,VINA REAL,"Вино Vina Real Crianza красное сухое, 0.75л",20,1799,1499
519038,MATTEO BRAIDOT,"Вино Matteo Braidot Pinot Grigio белое сухое, 0.75л",22,1789,0
605122506,COLOMBA BIANCA,"Вино Colomba Bianca Grillo Sicilia белое полусухое, 0.75л",211,849,0
374536,GAI KODZOR,"Вино Gai Kodzor Mourvedre-Syrah красное сухое, 0.75л",37,949,0
363174,PETIRROJO,"Вино Petirrojo Carmenere Reserve Colchagua Valley DO красное сухое, 0.75л",35,1599,1359
626237,CHATEAU MUKHRANI,"Вино Chateau Mukhrani Rkatsiteli Superieur белое сухое, 0.75л",23,1599,1199
89676043,RABL,"Вино Rabl Riesling белое сухое, 0.75л",41,1629,0
601653419,GNARLY HEAD,"Вино Gnarly Head Chardonnay белое сухое, 0.75л",17,1999,1799.1
152095,QUERCIABELLA,"Вино Querciabella Chianti Classico красное сухое, 0.75л",73,3499,0
582855,CARPINETO,"Вино Carpineto Vino Nobile Riserva красное сухое, 0.75л",21,4189,0
403258018,LOUIS DAILLY,"Вино Louis Dailly Mercurey белое сухое, 0.75л",83,3799,0
594099,CANNETO,"Вино Canneto Vino Nobile di Montepulciano красное сухое, 0.75л",4,4119,0
580810,MARCHESE DI BORGOSOLE,"Вино Marchese Di Borgosole Reserva красное полусухое, 0.75л",14,1699,1499
369005353,CUSUMANO,"Вино Cusumano Disueri Sicilia DOC красное сухое, 0.75л",15,2449,1799
626257,CHATEAU MUKHRANI,"Вино Chateau Mukhrani Kindzmarauli красное полусладкое, 0.75л",17,2099,0
604940079,KOPKE,"Вино Kopke Porto портвейн 20 лет в подарочной упаковке, 0.75л",11,6719,6047.1
639436,GUERRIERI RIZZARDI,"Вино Guerrieri Rizzardi Bardolino Classico красное сухое, 0.75л",7,2199,1699
413520464,VILLA ANTINORI,"Вино Villa Antinori Chianti Classico Riserva красное сухое, 0.75л",24,4599,0
403258028,LOUIS DAILLY,"Вино Louis Dailly Mercurey красное сухое, 0.75л",82,3799,0
485176561,CAPARZO,"Вино Caparzo Rosso di Montalcino красное сухое, 0.75л",14,2499,1999
571350580,REAL AGRADO,"Вино Real Agrado Tinto красное сухое, 0.75л",58,959,863.1
403258003,LOUIS DAILLY,"Вино Louis Dailly Cotes de Beaune-Villages красное сухое, 0.75л",58,3399,0
594563,CHATEAU HAUT BRETON LARIGAUDIERE,"Вино Chateau Haut Breton Larigaudiere Margaux красное сухое, 0.75л",11,4399,0
454872931,PACO&LOLA,"Вино Paco&Lola №12 Albarino белое полусухое, 0.75л",8,2449,1999
640196,LI VELI,"Вино Li Veli Contrade Chardonnay белое сухое, 0.75л",79,2299,1699
548702,ALAZANI,"Вино Alazani Saperavi Premium красное сухое, 0.75л",472,889,0
595451292,NOUVELLE VAGUE,"Вино Nouvelle Vague Bordeaux красное сухое, 0.75л",113,949,0
106910,VILLA ANTINORI,"Вино Villa Antinori La Braccesca Vino Nobile di Montepulciano DOCG красное сухое, 0.75л",15,3899,0
549756,PRA,"Вино Graziano Pra Staforte Soave Classico DOC белое сухое, 0.75л",22,3199,0
531826,GRILLO,"Вино Vogue Grillo красное сухое, 0.75л",7,5999,5399.1
534279,DOMAINE THUNEVIN-CALVET,"Вино Domaine Thunevin-Calvet Cuvee Constance красное сухое, 0.75л",15,1199,0
259100,MARTIN CODAX,"Вино Martin Codax Cuatro Pasos красное сухое, 0.75л",11,1649,1399
253172,ARZUAGA,"Вино Arzuaga Fan D'Oro белое сухое, 0.75л",9,3399,2499
595540078,LGI,"Вино LGI Tenebres красное полусухое, 0.75л",33,1299,0
144925,CUSUMANO,"Вино Cusumano Nero D'Avola Sicilia красное сухое, 0.75л",47,1529,0
548022,TABORDET,"Вино Tabordet Pouilly Fume белое сухое, 0.75л",77,2599,0
595715749,WOODHAVEN,"Вино Woodhaven Chardonnay белое полусухое, 0.75л",44,1269,999
605120846,COLOMBA BIANCA,"Вино Colomba Bianca Nerello Mascalese красное полусухое, 0.75л",214,899,0
600702237,SITIO SANTO,"Вино Sitio Santo Classico Vinho Verde белое полусухое, 0.75л",180,699,629.1
254582,CASA SANTOS,"Вино Casa Santos Quinta das Amoras Tinto красное полусухое, 0.75л",54,899,809.1
362632,CHATEAU LA GROLET,"Вино Chateau La Grolet красное сухое, 0.75л",12,3199,2399
454486,CHEVAL QUANCARD,"Вино Cheval Quancard Chateau de Terrefort-Quancard красное сухое, 0.75л",15,1799,1399
548701,JEAN DELLAC,"Вино Jean Dellac Chardonnay белое сухое, 0.75л",574,669,0
176682,MONTEFUSCO,"Вино Montefusco Nero красное сухое, 0.75л",48,1229,899
604952620,CASAL GARCIA,"Вино Casal Garcia Sweet белое сладкое, 0.75л",89,1019,917.1
149578,MARQUES DE CACERES,"Вино Marques de caceres Reserva красное сухое, 0.75л",31,2899,2609.1
402478,CHEVAL QUANCARD,"Вино Cheval Quancard Bordeaux белое сухое, 0.75л",31,899,0
605123076,COLOMBA BIANCA,"Вино Colomba Bianca Nero d'Avola красное полусухое, 0.75л",210,899,0
515591,EL VINCULO CRIANZA,"Вино El Vinculo Crianza Dehesa La Granja DO красное сухое, 0.75л",8,2499,1999
480720,TRAVERSA,"Вино Traversa Tannat красное сухое, 0.75л",19,899,809.1
514514,BADAGONI,"Вино Badagoni Saperavi красное сухое, 0.187л",34,349,229
546367,VESPUCCI,"Вино Vespucci Chianti Classico красное сухое, 0.75л",308,2219,1799
363272,CATENA ZAPATA,"Вино Catena Zapata Alamos Syrah красное сухое, 0.75л",11,1479,1331.1
241504,CONTE TASCA D'ALMERITA,"Вино Conte Tasca d'Almerita Regaleali красное сухое, 0.75л",129,1799,1599
491096,CERRO DE LA CRUZ,"Вино Cerro De La Cruz розовое сухое, 1л",261,599,539.1
480050,УСАДЬБА ПЕРОВСКИХ,"Вино Усадьба Перовских Каберне Резерв Совиньон красное сухое, 0.75л",15,819,0
519387,CHATEAU LE BOS,"Вино Chateau le Bos красное сухое, 0.75л",29,799,0
539801,KREMS,"Вино Stadt Krems Schieferterrassen Riesling белое сухое, 0.75л",11,2799,0
470214,CHATEAU LA RAZE BEAUVALLET,"Вино Chateau La Raze Beauvallet красное сухое, 0.75л",236,2299,1699
483937,TENUTA OLIM BAUDA,"Вино Tenuta Olim Bauda Nizza красное сухое, 0.75л",3,4799,0
491700,19 CRIMES,"Вино 19 Crimes The Banished Dark Red красное полусухое, 0.75л",31,2599,2339.1
438755,PAUL JABOULET AINE,"Вино Paul Jaboulet Aine Syrah Secret de Famille красное сухое, 0.75л",1,1899,1499
429293,УСАДЬБА ПЕРОВСКИХ,"Вино Усадьба Перовских Каберне Совиньон Резерв красное сухое, 0.75л",16,519,0
544131,ROLAND LAVANTUREUX,"Вино Roland Lavantureux Chablis Cru белое сухое, 0.75л",34,4199,0
421967,VOSKEVAZ,"Вино Voskevaz красное сухое, 0.75л",19,769,0
518663,CLAROSCURO,"Вино Claroscuro Malbec красное сухое, 0.75л",6,1329,1196.1
538326,PALAVANI,"Вино Palavani Rkatsiteli Kvevri Orange белое сухое, 0.75л",27,1299,0
185465,CUMA,"Вино Michel Torino Cuma Organic Torrontes белое сухое, 0.75л",16,999,899.1
363157,FONSECA,"Вино ликерное Портвейн Fonseca White Port белое сладкое, 0.75л",9,2799,2519.1
